date,HKQuantityTypeIdentifierActiveEnergyBurned,HKQuantityTypeIdentifierBasalEnergyBurned,HKQuantityTypeIdentifierDistanceWalkingRunning,HKQuantityTypeIdentifierStepCount,HKQuantityTypeIdentifierWalkingSpeed,HKQuantityTypeIdentifierWalkingStepLength
2024-06-18,54.576,1382.337,1.538552011,5358.0,1.712976923076923,17.686219230769233
2024-06-19,28.916,1376.477,0.6875408,2626.0,1.83288875,18.70075
2024-06-20,46.08,1391.059,0.92020718,3551.0,1.9849852631578948,20.576021052631578
2024-06-21,32.033,1415.086,0.89465627,3159.0,1.8325663846153846,19.1399
2024-06-22,25.446,1366.281,0.784741816,2892.0,1.6537345,17.519650000000002
2024-06-23,44.033,1363.6399999999999,1.010138791,3724.0,1.928239,19.48816
2024-06-24,56.109,1403.197,1.19234906,4163.0,1.9349500000000002,19.57901153846154
2024-06-25,51.792,1379.136,1.04652593,3921.0,1.968503157894737,19.871494736842106
2024-06-26,53.345,1391.924,1.126503473,4048.0,1.9498638888888888,18.74449444444444
2024-06-27,69.52,1395.841,1.474681756,5819.0,1.7760337499999999,17.97896666666667
2024-06-28,56.869,1395.047,1.191100666,4473.0,1.783713913043478,18.281373913043478
2024-06-29,88.65599999999999,1371.98,1.732585653,6588.0,1.8995821621621622,19.301943243243244
2024-06-30,38.917,1397.502,0.88033406,3061.0,1.653019655172414,18.721120689655173
2024-07-01,73.139,1383.605,1.51341771,5851.0,1.9471999999999998,18.91635
2024-07-02,20.541999999999998,1373.435,0.5050383,1865.0,1.6919372727272728,16.893309090909092
2024-07-03,40.795,1361.691,0.977381863,3560.0,1.811916923076923,19.412446153846155
2024-07-04,33.013999999999996,1367.826,0.704592182,2466.0,1.7712472727272726,18.324945454545453
2024-07-05,90.163,1412.5729999999999,1.755193609,5827.0,2.0603115,20.43139375
2024-07-06,49.913,1419.398,0.888467502,3186.0,1.9322861904761903,19.53501904761905
2024-07-07,19.171,1329.9569999999999,0.47552919,1731.0,1.64694375,16.5846125
2024-07-08,30.115,1386.528,0.733111892,2634.0,1.8745540000000003,18.93697
2024-07-09,144.643,1417.484,2.815347961,10740.0,1.962481923076923,19.533578205128205
2024-07-10,54.284,1386.3319999999999,1.17265109,4319.0,1.8002868,18.204692
2024-07-11,62.160000000000004,1434.846,1.11748666,4019.0,1.9074966666666666,18.253363636363638
2024-07-12,33.077,1340.646,0.608782493,2200.0,1.7224405882352942,17.94808823529412
2024-07-13,45.298,1421.633,0.926514233,3657.0,1.9908733333333335,19.06632857142857
2024-07-14,35.873000000000005,1347.547,0.759185502,2600.0,1.821644347826087,18.8976
2024-07-15,18.368,1372.2749999999999,0.492996712,1721.0,1.7050433333333332,18.02272222222222
2024-07-16,20.274,1382.297,0.508840526,1725.0,1.5782833333333333,17.45403333333333
2024-07-17,23.715,1377.469,0.53000474,2037.0,1.7379284615384616,17.867923076923077
2024-07-18,15.466,1396.09,0.38013614,1340.0,1.6189825,16.929100000000002
2024-07-19,13.658999999999999,1395.376,0.35837531,1378.0,1.6489414285714286,16.59164285714286
2024-07-20,66.294,1367.475,1.382115571,4983.0,1.746531923076923,17.989061538461538
2024-07-21,50.136,1393.006,1.129820528,3965.0,1.7707591999999999,18.047208
2024-07-22,50.66,1389.205,1.085423517,4120.0,1.915524210526316,19.27057894736842
2024-07-23,79.687,1364.709,1.564599787,5932.0,1.7529436363636364,18.30705
2024-07-24,54.193,1384.763,1.266770892,4861.0,1.9729771999999999,19.511772
2024-07-25,84.19200000000001,1404.723,1.7139970150000001,6736.0,1.8992654761904761,18.869478571428573
2024-07-26,329.464,1446.022,5.965194031,21096.0,2.1494094186046513,20.608239766081873
2024-07-27,262.109,1452.373,4.66564264,17220.0,2.0822823956834533,19.95124964028777
2024-07-28,189.00900000000001,1443.703,3.036430617,11285.0,2.005862886597938,19.831117525773198
2024-07-29,46.161,1354.297,1.10643886,3977.0,1.698350769230769,17.11080769230769
2024-07-30,60.235,1408.289,1.313740793,4868.0,1.9237650000000002,19.70469
2024-07-31,52.739,1370.512,1.3077378,4873.0,1.7543982142857144,17.969592857142857
2024-08-01,37.883,1392.811,0.881787836,3409.0,1.787195263157895,17.965157894736844
2024-08-02,61.076,1384.1599999999999,1.190777401,4564.0,1.9587175000000001,19.61118125
2024-08-03,51.596000000000004,1424.46,1.1560245439999999,4353.0,1.874552,18.8976
2024-08-04,70.964,1353.619,1.3750681200000001,5344.0,1.931221388888889,19.75062222222222
2024-08-05,36.787,1393.017,0.75860103,2814.0,1.8749590909090907,18.146
2024-08-06,24.762999999999998,1386.36,0.53405609,1913.0,1.7634533333333333,17.847733333333334
2024-08-07,40.384,1364.331,0.73347888,2665.0,1.9621114285714287,20.388057142857143
2024-08-08,61.959,1388.945,1.1472561000000001,4375.0,1.8927926923076923,19.321584615384616
2024-08-09,25.055,1395.233,0.62120326,2350.0,2.093775,20.94485
2024-08-10,57.265,1411.179,1.14124119,4199.0,1.8409383783783786,18.993367567567567
2024-08-11,68.319,1304.384,1.352955285,5110.0,1.7862340740740743,18.416411111111113
2024-08-12,,1261.128,,,,
2024-08-13,0.13,293.103,0.02391654,100.0,,
2024-08-14,,1203.8039999999999,0.0025724819999999996,9.0,,
2024-08-15,0.006,1375.9389999999999,0.013862800000000002,49.0,,
2024-08-16,0.222,148.211,0.0052568,17.0,,
2024-08-18,,802.536,,,,
2024-08-19,29.494,1367.924,0.438688112,1815.0,1.8342863636363638,17.64491818181818
2024-08-20,42.107,1380.5629999999999,0.89643365,3600.0,1.7869176470588235,17.785976470588235
2024-08-21,58.529,1386.62,1.0794146900000001,4225.0,1.8808891666666667,18.848391666666668
2024-08-22,45.021,1366.478,0.873386717,3532.0,1.9117207692307692,17.86793076923077
2024-08-23,47.231,1393.0049999999999,0.84844489,3307.0,1.7240385714285715,17.041585714285713
2024-08-24,51.384,1391.34,0.8849498,3458.0,2.05159,19.96622142857143
2024-08-25,21.676000000000002,1360.304,0.501912514,1977.0,1.9113377777777778,18.810111111111112
2024-08-26,24.769000000000002,1381.032,0.5268171700000001,2144.0,1.9013964705882354,19.036558823529415
2024-08-27,39.073,1402.937,0.8382603750000001,3301.0,1.9699018750000001,18.55311875
2024-08-28,52.002,1408.95,1.061767707,4321.0,1.8575879166666667,18.22502916666667
2024-08-29,49.077,1393.889,1.002185,3766.0,1.78955,17.867926923076922
2024-08-30,38.782,1380.821,0.819470295,3119.0,1.6642813333333335,16.22044
2024-08-31,36.299,1338.0929999999998,0.68534749,2698.0,1.8871609090909092,18.14599090909091
2024-09-01,53.244,1386.616,1.05246768,4306.0,1.8979546153846154,18.246480769230768
2024-09-02,44.364,1404.862,0.8209430600000001,3454.0,1.910982857142857,18.461717857142855
2024-09-03,59.423,1363.056,1.142596118,4252.0,2.0153728571428573,19.92872857142857
2024-09-04,22.730999999999998,1417.3,0.42878367,1639.0,1.9535900000000002,18.996025
2024-09-05,68.803,1372.612,1.125340765,4378.0,1.8966863157894736,18.31741052631579
2024-09-06,31.192,1361.685,0.51127047,1968.0,1.8454725,18.5039
2024-09-07,155.712,1416.527,2.649489548,10209.0,1.9484284615384615,19.331684615384614
2024-09-08,280.695,1412.933,2.49973298,10157.0,1.8231035714285715,19.1132
2024-09-09,38.579,1377.908,0.74292967,2735.0,2.0473857894736844,19.726447368421052
2024-09-10,41.709,1407.735,0.769207702,3106.0,1.6934923529411763,16.79014705882353
2024-09-11,30.317,1377.51,0.66581793,2660.0,1.8534642857142856,18.447657142857143
2024-09-12,56.669,1374.931,1.18314068,4750.0,1.98212,18.863365217391305
2024-09-13,27.320999999999998,1393.324,0.66711668,2602.0,1.749285,17.67713
